req_id,pillar,title,description,status,notes,updated_at
"FR-EE-01","ExpertEdge","Post opportunities","Title, company, type, location, description, pay range.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-EE-02","ExpertEdge","Browse & filter opportunities","Search, type filter, company filter on the opportunities board.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-EE-03","ExpertEdge","Apply with cover letter","Candidates apply from opportunity card with cover letter text.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-EE-04","ExpertEdge","Application status pipeline","submitted → under review → interview → hired/rejected with notifications.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-EE-05","ExpertEdge","Company directory","Aggregated from posted opportunities with cards and ratings.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-EE-06","ExpertEdge","Anonymous peer reviews","Application-gated company reviews with star rating.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-EE-07","ExpertEdge","Employer subscription (paid)","Organizations pay to unlock candidate search and resume visibility.","done","Subscription flow wired to real Stripe/Razorpay via /payments/checkout/stripe and /payments/checkout/razorpay. $99 USD, server-side price validation. Post-payment webhook activates subscription_active flag.","2026-08-25T04:24:53.340066+00:00"
"FR-EE-08","ExpertEdge","Candidate search","Resume and employment history visible to subscribed employers only.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-EE-09","ExpertEdge","Job alerts","Keyword-based alerts, notified when matching opportunity posted.","done","","2026-08-24T18:15:31.656983+00:00"
"KI-01","ExpertEdge","Company name as URL path (fragile)","Company name used as URL segment. Names with '/' or regex chars cause routing issues.","known_issue","Should switch to slug/id based routing.","2026-08-24T18:15:31.656983+00:00"
"KI-03","ExpertEdge","Employer subscription mocked","Subscription completes instantly without real Stripe/Razorpay checkout.","done","Resolved in Phase 8. Employer subscription uses real Stripe/Razorpay checkout.","2026-08-25T04:24:53.594558+00:00"
"KI-04","ExpertEdge","No opportunity close/withdraw","Applicants cannot withdraw. Owners cannot close a filled role.","done","Close and Reopen both implemented. Applicants can withdraw. Owners can close/reopen roles.","2026-08-25T04:24:54.020535+00:00"
"FR-FA-01","FreeAgent","Gig marketplace","List and discover advisory gigs with category, pricing, seller profile.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-FA-02","FreeAgent","Experience gating","Gigs >$500 require 15+ years experience to post.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-FA-03","FreeAgent","Order lifecycle","pending → in_progress → delivered → completed/cancelled state machine.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-FA-04","FreeAgent","Escrow-style payments","Stripe/Razorpay checkout on order placement. Webhook confirms before release.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-FA-05","FreeAgent","Bidirectional reviews","Both buyer and seller review after completion. Linked to Greyin Score.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-FA-06","FreeAgent","Revision requests","Buyer requests one revision round. Seller re-delivers. 409 on second.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-FA-07","FreeAgent","Payout rail","Available balance from completed orders. Payout request marks as paid.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-FA-08","FreeAgent","AI gig quality scoring","LLM scores new gig listings on post and offers improvement suggestions.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-GM-01","GreyMatters","Article creation & editing","Rich text body, subtitle, tags, draft save.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-GM-02","GreyMatters","Draft/publish lifecycle","Draft → publish toggle. Mine tab shows all own articles.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-GM-03","GreyMatters","Cover image upload","Via Emergent Object Storage. Shown in reader and grid.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-GM-04","GreyMatters","Clapping (Medium-style)","Max 50 claps per user per article.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-GM-05","GreyMatters","Threaded comments","Add/delete own comments on articles.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-GM-06","GreyMatters","Newsletter subscriptions","Subscribe per author, notified on new publish.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-GM-07","GreyMatters","AI article quality scoring","LLM scores on publish and returns feedback to author (admin toggle).","done","","2026-08-24T18:15:31.656983+00:00"
"FR-PW-01","Platform-Wide","Email/password auth","Bcrypt hashing, 7-day httpOnly cookies, signup/login/logout.","done","Verified by testing agent","2026-08-24T18:18:20.726972+00:00"
"FR-PW-02","Platform-Wide","Google OAuth","Emergent-managed Google login. Role assigned on first login.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-PW-03","Platform-Wide","Real-time notifications","Persistent collection, WebSocket push, bell dropdown, mark-one/all read.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-PW-04","Platform-Wide","Rich profile & Greyin Score","Avatar, bio, industry, expertise, employment history, score computation.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-PW-05","Platform-Wide","Unified cross-pillar search","Single search bar across all pillars (people, gigs, articles, projects).","partial","Directory search and NL search work. Cross-pillar unified results page not implemented.","2026-08-24T18:15:31.656983+00:00"
"FR-PW-06","Platform-Wide","Natural-language search","LLM parses 'former CFO board-ready' into structured directory filters.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-PW-07","Platform-Wide","Cross-pillar Greyin Score","Score from: profile, endorsements, articles, FA orders, referrals, karma, StackEdge completions.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-PW-08","Platform-Wide","Verified badge","Auto-verifies when bio + industry + expertise are filled.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-PW-09","Platform-Wide","Follow graph","Follow/unfollow, counts on profile, network feed from followed users.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-PW-10","Platform-Wide","Worked-together signal","Surface shared work history across pillars.","partial","StackEdge completions tracked. FreeAgent/mentorship cross-signal not aggregated into a unified worked-together display.","2026-08-24T18:15:31.656983+00:00"
"FR-PW-11","Platform-Wide","Skill endorsements","Endorse from PersonModal, gated to connection or StackEdge completion.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-PW-12","Platform-Wide","Connection lifecycle","Request/accept/pending, list, required for endorsements.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-PW-13","Platform-Wide","Written recommendations (write)","Write from PersonModal, pending until recipient approves.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-PW-14","Platform-Wide","Recommendation approval","Approve/decline. Approved shown on public profile and PersonModal.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-PW-15","Platform-Wide","Referrals","Invite by email, unique code, +25 score per conversion (cap 4).","done","","2026-08-24T18:15:31.656983+00:00"
"FR-PW-16","Platform-Wide","Pivoter / re-entry track","is_pivoter flag, pivot_from/to fields, Pivoter badge, directory filter.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-PW-17","Platform-Wide","Dedicated company profiles","Full company pages with team, culture, open roles, detailed reviews.","partial","Companies aggregated from opportunities. No dedicated team/culture pages built.","2026-08-24T18:15:31.656983+00:00"
"FR-PW-18","Platform-Wide","Mentorship calendar","Slots, booking, Stripe/Razorpay payment, My Sessions for both sides.","done","","2026-08-24T18:15:31.656983+00:00"
